source,question,correct_answer,answer_option_2,answer_option_3,answer_option_4,answer_option_5,explanation
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,"Stephanie knows that many people believe that women are not as skilled at math as men.  When she takes a math test, this awareness causes her to perform below her actual  abilities due to _____________________.",Criterion validity,Researcher bias,Stereotype threat,Construct validity,Variance,"Intelligence scores fall in a normal distribution. In a normal  distribution, approximately 34% of scores fall within one standard deviation above the  mean and another 34% fall within one standard deviation below the mean. The mean  score for intelligence is 100 and the standard deviation is 15 points. Therefore, a score of  85 would be one standard deviation below the mean and a score of 115 would be one  standard deviation above the mean. So 34% of people's scores would fall between 85 and  100 and another 34% would fall between 100 and 115. When these are added together,  the result is 68%."
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,Approximately what percentage of people obtain scores between 85 and 115 on a  standard intelligence test?,34%,2%,14%,68%,97%,"Cattel described 2 types of intelligence: crystallized intelligence  which is accumulated knowledge and vocabulary, and fluid intelligence which is the  ability to reason abstractly and solve novel problems."
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,"In his famous longitudinal study, Lewis Terman hoped to show that ____________________.",Gifted children grow up to be happy and successful,Gifted children experience higher than average rates of mental illness.,Gifted children fall behind their peers when they reach adulthood.,Gifted children are more likely to become criminals in adulthood.,Gifted children tend to earn less money in adulthood than their peers.,"When Terman began his study in 1921, there was a widespread  belief that people who were gifted as children would be more likely to grow up to have  problems in adulthood (""first to ripe, first to rot""). Terman wanted to show that this was  not the case. Although none of his 1528 ""Termites"" grew up to win the Nobel Prize, they  grew up to be better educated and more successful on average than their nongifted  peers."
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,Mrs. Smith gives a psychology test and finds that the scores form a normal distribution  where the mean is 80 and the standard deviation is 12. About what percentage of Mrs. Smith's students scored at or above a 92%?,16%,2%,12%,14%,20%,"In a normal distribution, if the mean is 80 and the standard  deviation is 12, then a score of 92 would fall one standard deviation above the mean. In a  normal distribution about 84% of scores would fall below one standard deviation above  the mean, leaving 16% at or above one standard deviation above the mean. Therefore,"
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,"Ten year old Matthew takes the Stanford-Binet intelligence test and it indicates that he  has a mental age of eleven and a half. Using the Stanford-Binet formula to calculate his  IQ, what would Matthew's IQ be?",115,87,97,100,117,"To calculate IQ using the Stanford-Binet formula, divide Mental  Age by Chronological age, then multiply by 100. 11.5 divided by 10 = 1.15. 1.15 x 100 =  115. To double check your answer, remember that 100 is an average score. So if the  mental age is higher than the chronological age, you should get an answer that is above  100."
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,"If the variance of a set of scores is 16, what is the standard deviation?",4,16,32,64,256,The standard deviation is the square root of the variance. The  square root of 16 = 4.
xAP Psychology Practice Test 14 Social Psychology.txt,John has been prescribed lithium carbonate to treat his symptoms. It is most likely that  he is suffering from,Bipolar disorder,Schizophrenia,Depression,Antisocial personality disorder,Post-traumatic stress disorder,Lithium carbonate is a drug that has been found to be effective  in reducing the intense mood swings associated with Bipolar disorder.
xAP Psychology Practice Test 14 Social Psychology.txt,"Dr. Hall is working with a patient who struggles to make eye contact when speaking to  others. Each time her patient does make eye contact, she gives him a poker chip. He can  then exchange the poker chips for time playing video games. This type of therapy is  known as",Token economy,Rational emotive therapy,Psychoanalysis,Systematic desensitization,Client-centered therapy,"Token economy is one type of Behavioral therapy based on  operant conditioning principles. The patient is given a small ""token"" (in this case, a poker  chip) as a reinforcer each time he demonstrates the target behavior (in this case, making  eye contact). The tokens can then be exchanged for activities or other things that the  patient enjoys, such as video game time."
xAP Psychology Practice Test 14 Social Psychology.txt,Billy has an intense and irrational fear of clowns. His therapist is most likely to use which technique to help him?,Systematic desensitization,Rational emotive therapy,Aversion therapy,Electroconvulsive therapy (ECT),Client-centered therapy,"Systematic desensitization is an effective behavioral therapy for  phobias. In systematic desensitization, the patient is first taught a series of relaxation  techniques. He then makes a hierarchy of fears (a list of situations that trigger the  phobic reaction, ranking the situations from mildly anxiety producing to absolutely  terrifying). The therapist then teaches the patient to relax during each situation on the list, beginning with the least frightening situation (for example, looking at a small photo  of a clown) and progressing to the most frightening (for example, actively participating in  a circus filled with clowns)."
xAP Psychology Practice Test 14 Social Psychology.txt,"Albert is suffering from depression. Albert's therapist believes that Albert's depression  stems from unhealthy, illogical thoughts. The therapist uses a technique involving  confronting Albert with his illogical thoughts and helping him to replace those thoughts  with healthier ones. This technique is known as",Rational-emotive therapy,Psychoanalysis,Humanistic,Electroconvulsive therapy (ECT0,Aversion therapy,"Rational-emotive therapy is a form of cognitive therapy  pioneered by Albert Ellis. In this type of therapy, patients are confronted with their  irrational thinking patterns and encouraged to engage in cognitive restructuring, where  they change irrational thoughts (e.g., ""my girlfriend dumped me so I am a pathetic  unlovable loser"") to healthier more rational thoughts (e.g., ""my girlfriend dumped me  and that makes me sad because I will miss being with her, but I'm still a great person who  will eventually find someone who recognizes and appreciates my awesome self"").  Cognitive therapies, such as rational-emotive therapy, are most effective for the  treatment of depression."
xAP Psychology Practice Test 14 Social Psychology.txt,Eddie has been seeing a therapist who encourages him to talk at length about whatever  comes into his head without censoring himself. His therapist also asks him to keep a  dream journal and helps him to figure out what underlying hidden meaning might be  found in his dreams. What type of therapy does Eddie's therapist appear to be practicing?,Psychoanalysis,Client-centered therapy,Cognitive therapy,Aversion therapy,Gestalt therapy,"Psychoanalysis (also known as psychodynamic therapy or  Freudian therapy) is based on the idea that abnormal thoughts and behaviors stem from  unconscious thoughts, fears, desires, etc. The goal of psychoanalysis is to reach the  unconscious through a variety of means, such as free association (talking about whatever  comes to mind) and dream interpretation (analyzing the patient's dreams to find symbolic  meaning). Once unconscious issues have been uncovered, the therapist helps the patient  to gain insight into what is actually going on so that they can work through it together."
xAP Psychology Practice Test 14 Social Psychology.txt,"Antidepressant medications, such as Prozac, work by",Blocking the reuptake of serotonin,Blocking dopamine receptor sites,Blocking serotonin receptor sites,Increasing the production of dopamine,Blocking the reuptake of dopamine,"Many antidepressant medications, including Prozac, are SSRIs  (Selective Serotonin Reuptake Inhibitors). SSRIs work by blocking the reuptake of  serotonin in the synapse. This leaves more serotonin in the synapse allowing the  serotonin to work more efficiently. People who suffer from depression often don't  produce enough serotonin, so increasing the activity of serotonin through the use of SSRIs  helps to alleviate the symptoms of depression."
xAP Psychology Practice Test 14 Social Psychology.txt,Antipsychotic medications work by,Increasing the activity of acetylcholine,Decreasing the activity of dopamine,Increasing the activity of dopamine,Decreasing the activity of acetylcholine,Decreasing the activity of serotonin,Client-centered therapy operates from the premise that people  have an innate motivation to reach their full potential. The role of the therapist is to  accept the client unconditionally so that the client learns to accept himself  unconditionally. The therapist engages in active listening techniques so that the client is  able to activate his own motivation for growth and positive change.
xAP Psychology Practice Test 14 Social Psychology.txt,"Dr. Jones helps patients to eliminate maladaptive behaviors, such as smoking or  overeating, by pairing those behaviors with something unpleasant like a mild shock. What  type of therapy is Dr. Jones using?",Behavioral,Cognitive,Gestalt,Psychoanalytic,Electroconvulsive therapy (ECT),People who suffer from schizophrenia experience psychotic  episodes involving hallucinations and delusions. These symptoms appear to be related to  an excess of dopamine activity. Antipsychotic medications help to alleviate these  symptoms by reducing dopamine activity.
xAP Psychology Practice Test 14 Social Psychology.txt,"Because she is not responding well to more traditional treatments, Elizabeth's doctor has  suggested that she undergo electroconvulsive therapy (ECT). What disorder is it likely that  Elizabeth is suffering from?",Anorexia nervosa,Social anxiety,Schizophrenia,Major depression,Obsessive compulsive disorder,"One type of behavioral therapy is aversion therapy. In this type  of therapy, patients learn to associate an undesirable behavior with something  unpleasant so that they are conditioned to develop an aversion to that behavior."
xAP Psychology Practice Test 14 Social Psychology.txt,The number of patients in mental institutions was highest in what decade?,1990s,1930s,1950s,1970s,2010s,"Electroconvulsive therapy involves passing small amounts of  electricity through a patient's brain in order to trigger mild seizures. ECT has been found  to help alleviate symptoms of depression in some patients. Due to side effects such as  memory loss, ECT is only used when other treatments have been unsuccessful or cannot  be used."
xAP Psychology Practice Test 14 Social Psychology.txt,Tardive dyskinesia is a side effect of medication most often used to treat which disorder?,Anxiety,Depression,Schizophrenia,Anorexia nervosa,Antisocial personality disorder,"The number of patients in mental institutions rose at a fairly  steady rate until the mid-1950s. The invention of Thorazine (an antipsychotic  medication) in 1954 allowed many patients to be treated outside of mental hospitals and  began the trend of deinstitutionalization (removing patients from inpatient institutions  and treating them in community based centers). Increased public awareness and empathy  for those suffering from mental illness, as well as politically motivated budgetary  concerns, also contributed to the trend of deinstitutionalization."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"As Jill walked toward the stage to give her speech, her heartbeat accelerated, her blood  pressure rose, and she began to sweat. Jill's state of arousal was activated by what part of  the nervous system?",Sympathetic,Central,Peripheral,Parasympathetic,Cerebral,"The sympathetic nervous system (SNS) is part of the autonomic  nervous system (ANS), which also includes the parasympathetic nervous system (PNS).  The SNS activates what is often termed the ""fight or flight"" response, which is described  in the above example. The PNS brings the body back to normal and can be thought of as  the ""rest and digest"" system (parasympathetic = parachute)."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,What brain structure provides the major link between the nervous system and the  endocrine system?,Hypothalamus,Amygdala,Cerebellum,Corpus callosum,Reticular formation,"The hypothalamus is a section of the brain responsible for the  production of many of the body's essential hormones, chemical substances that help  influence different cells and organs. The hormones from the hypothalamus govern  physiological functions such as temperature regulation, thirst, hunger, sleep, mood, sex  drive, and the release of other hormones within the body."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Which part of the cerebral cortex directs the muscle movements involved in producing  speech?,Broca's area,Amygdala,Angular gyrus,Reticular formation,Wernicke's area,Broca's area is one of the main areas of the cerebral cortex  responsible for producing language. This brain area controls motor functions involved  with speech production. Persons with damage to Broca's area of the brain can  understand language but cannot properly form words or produce speech.
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Which brain scan measures subtle changes in brain electrical activity?,EEG scan,CAT scan,fMRI scan,MRI scan,PET scan,"An electroencephalogram (EEG) is a method of detecting  electrical activity in the brain using small, flat metal discs (electrodes) attached to the  scalp. Brain cells communicate via electrical impulses and are constantly active, even  during sleep."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,What parts make up the central nervous system (CNS)?,Brain and spinal cord,Brain,Spinal cord,Skull,All other nerves,"The brain and spinal cord, together, make up the Central  Nervous System. All other nerves are considered part of the peripheral nervous system."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,A squirrel fails to react with fear to a signal of impending shock if they have suffered  damage to the ___________________.,Amygdala,Corpus callosum,Hippocampus,Hypothalamus,Thalamus,"The amygdala is a pair of almond-shaped tissues located deep  in the brain's medial temporal lobe. It plays a key role in the processing of emotions,  including fear; damage to the amygdala results in difficulties with decision-making,  memory, and emotional response."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,The lateralization of brain function suggests that language functions are generally found  in which hemisphere?,Left hemisphere,Frontal hemisphere,Hind hemisphere,Dorsal hemisphere,Right hemisphere,"While many brain functions are not expressed solely by one  hemisphere or another, language functions including grammar and vocabulary are  typically found in the left hemisphere."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"In some neurons, the axon is insulated by the ______________.",Myelin sheath,Ganglion,Nerve fiber,Pacinian sheath,Sylvian sheath,"The myelin sheath insulates the axon, speeding up the process  of neurotransmission."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,The term central nervous system refers to the ________________.,Brain and the spinal cord,Autonomic system,Cerebral cortex and the cerebellum,Grey matter,Spinal cord and the glandular system,"The brain and spinal cord make up the central nervous system,  as opposed to the peripheral nervous system, which includes the nervous system outside  of the brain and spinal cord."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Sensory motor responses that are rapid and automatic are called _____________.,Reflexes,Affective,Instincts,Permeable,Reuptakes,"Reflexes are rapid, automatic responses that are neither conscious nor voluntary."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"Humans have approximately 70,000 genes that are arranged on how many pairs of  chromosomes?",23,10,27,46,144,"Human genes are arranged on 46 chromosomes, or 23 pairs, 22  of which are autosomes and 1 of which is a sex chromosome."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"The term ""soma"" is synonymous with ___________.",Cell body,Neuron,Dendrite,Axon,Synapse,"The soma, or cell body, of a neuron contains the nucleus of the  cell along with its DNA and the metabolic machinery that keeps the neuron alive."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"In 2001, scientists finished assembling the complete inventory of all human genes. What  is this called?",Human Genome,Human Genotype,Human Meme,Human Phenotype,Human Phoneme,The term genome refers to the catalog of all genes of a species;  the genotype refers to a particular variation of genes within an individual.
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"A stroke patient is shown a vacation snapshot, which she describes as ""man… tall…  woman… hat… mountain… smiles."" This patient is most likely suffering from which of the  following conditions?",Broca's aphasia,Broca's agnosia,Schizophrenia,Wernicke's agnosia,Wernicke's aphasia,"Patients with Broca's aphasia can convey content, but their  speech is halting and unstructured. Broca's aphasia typically involves the omission of the  articles 'a' and 'the.'"
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,The somatosensory area of the cerebral cortex is responsible for our sense of ____________.,Touch,Hearing,Sight,Smell,Taste,"The somatosensory area receives afferent input from receptors  in the skin that convey information about touch (mechanoreception), pain (nociception),  and temperature (thermoception)."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"As the result of a cerebral hemorrhage, a patient lost the ability to breathe and died. An  autopsy will show damage to what part of the brain?",Medulla,Amygdala,Cerebellum,Hippocampus,Midbrain,"The medulla, located in the hindbrain, controls vital and  autonomic life-sustaining functions including heartbeat, circulation and respiration."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Which of the following is not a neurotransmitter?,Insulin,Acetylcholine,Dopamine,Epinephrine,Serotonin,Insulin is not a neurotransmitter; it is a hormone that regulates  blood sugar levels.
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Complete the analogy — left hemisphere is to right hemisphere as _______________.,Language functioning is to spatial ability,Balance is to movement,Broca's area is to Wernicke's area,Hearing is to speaking,Sensation is to action,"Language is primarily a function of the left hemisphere, while  spatial ability is primarily a function of the right hemisphere."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"Travis and Reid were both seen stumbling down the street. Travis was drunk, which  explained his lack of balance. Reid, on the other hand, was sober. He was unable to  maintain his balance due to damage to a particular part of his brain. Where did this  damage most likely occur?",Cerebellum,Medulla,Pons,Reticular formation,Thyroid,"The cerebellum is responsible for maintaining, coordinating,  and regulating muscular activity. The cerebellum plays a key role in balance."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,"Which hormone, secreted by the pineal gland, increases when periods of darkness begin and promotes feelings of drowsiness?",Insulin,Cortisol,Epinephrine,Melatonin,Testosterone,"""Split-brain"" patients are those who have had their corpus  callosum severed as a means of treating epilepsy that does not respond to medication.  The corpus callosum is the thick bundle of nerves that connects the left and right  hemispheres of the brain."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,A drug that enhances the effect of a neurotransmitter by mimicking its effects or by  preventing its breakdown in the synapse is referred to as what?,An inhibitory postsynaptic potential,An agonist,An antagonist,An excitatory postsynaptic potential,A transducer,"While all of these are hormones, melatonin is the only  hormone listed that is secreted by the pineal gland. It is also the only hormone listed that  helps regulate sleep."
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Which of the following neurological disorders is associated with a deficiency of  acetylcholine?,Alzheimer's disease,Autism,Huntington's disease,Parkinson's disease,Wernicke's aphasia,An agonist enhances or mimics the effects of a  neurotransmitter; an antagonist has the opposite effect and mitigates the effects of a  neurotransmitter.
xAP Psychology Practice Test 2 Biological Bases of Behavior.txt,Which of the following changes is not caused by the activation of the sympathetic  nervous system?,Acceleration of heart action,Decrease in digestive secretions,Dilation of pupils,Opening of respiratory passages,All of the above are caused by activation of the SNS,Alzheimer's disease is associated with a deficiency of  acetylcholine.
xAP Psychology Practice Test 4 States of Consciousness.txt,What will most likely be influenced by staying up especially late on weekends?,Circadian rhythm,Seasonal Affective Disorder,Narcolepsy,REM rebound,Lucid dreaming,"Circadian rhythms are physical, mental and behavioral changes  that follow a roughly 24-hour cycle, responding primarily to light and temperature in an  organism's environment. Activities that alter sleep can negatively influence circadian  rhythm."
xAP Psychology Practice Test 4 States of Consciousness.txt,"Large, slow brain waves called Delta waves are most associated with which stage of  sleep?",NREM-3,NREM-1,NREM-2,REM Sleep,Lucid Dreaming,"The brain begins emitting delta waves in stage NREM-3 of sleep.  NREM-3 is also referred to as deep sleep or delta sleep; it is very difficult to wake  someone from this state. In deep sleep, there is no rapid eye movement and heart rate,  breathing, and temperature are at their lowest."
xAP Psychology Practice Test 4 States of Consciousness.txt,What drug most commonly inhibits arousal centers?,Barbiturates,Amphetamines,Cocaine,Hallucinogens,Nicotine,"Barbiturates are CNS depressants. Their effects can range from  weak sedation to complete anesthesia. Because of these effects on the central nervous  system, barbiturates are known to inhibit arousal centers."
xAP Psychology Practice Test 4 States of Consciousness.txt,Which of the following statements about the typical pattern of sleep cycles is false?,We most often naturally awaken during NREM-3 sleep.,"If someone has been sleep-deprived, he or she enters REM sleep sooner after falling  asleep than he or she otherwise would.",Infants spend more time in REM sleep than do adults.,"Near the end of a good night's sleep, a person spends most of his or her time in Stages  NREM-1, NREM-2, and REM.",The first stage of sleep is NREM-1.,"Stage NREM-3 is actually the deepest, most restorative stage of  sleep. We are least likely to naturally wake up during NREM-3 sleep. All the other  statements are true."
xAP Psychology Practice Test 4 States of Consciousness.txt,"During which stage of sleep are EEG recordings most similar to those during alert, awake  periods, giving this stage its nickname, ""paradoxical sleep?""",REM Sleep,NREM-1,NREM-2,NREM-3,Insomnia,"REM sleep is physiologically different from the other three  sleep stages. Among these differences is the similarity between the brain activity during  REM sleep and the brain activity during alert periods. Although REM Sleep is generally  ""active""(brain waves are active, heart rate and breathing are elevated, eyes move rapidly),"
xAP Psychology Practice Test 5 Learning.txt,"Through direct experience with animals, small children come to anticipate that dogs will  bark and that birds will chirp. This best illustrates what psychological learning concept?",Associative learning,Law of Effect,Latent Learning,Respondent behavior,Spontaneous recall,"Associative learning is the process by which an association  between two stimuli or a behavior and a stimulus is learned. In this case, the noise an  animal makes is associated with the animal."
xAP Psychology Practice Test 5 Learning.txt,Blinking in response to a puff of air directed to your eye is a(n _______________.:,Unconditioned Response,Conditioned Response,Conditioned Stimulus,Unconditioned Stimulus,None of the above,"An unconditioned response is an automatic reaction to  something. In this case, blinking would be an automatic reaction to the air puff and  would occur without an association. Unconditioned responses are not learned, they  occur naturally in response to a stimulus."
xAP Psychology Practice Test 5 Learning.txt,"Maddie gets a speeding ticket, and her parents take her car away for 2 weeks. This is an  example of what reinforcement schedule?",Negative punishment,Positive punishment,Positive reinforcement,Negative reinforcement,Rules enforcement,"In negative punishment, a desirable object is removed in  response to undesirable behavior with the goal of reducing or ending the undesirable behavior. In this case, the desired object is the car, the undesired action is the speeding  ticket, and the desired outcome is no future speeding tickets."
xAP Psychology Practice Test 5 Learning.txt,What is an example of a secondary reinforcer?,Money,Instant satisfaction,Food,Positive reinforcement,Negative reinforcement,"Secondary reinforcers are used to support a behavior that has  become associated with a primary reinforcer. Primary reinforcers consist of biological  drives — food and pleasure being the primary examples. Secondary reinforcers are often  those that can be used to acquire primary reinforcers. In this case, money can be used to  acquire both instant satisfaction and food, so it would be a secondary reinforcer."
xAP Psychology Practice Test 5 Learning.txt,"Leah is interested in helping her daughter learn manners. Each time her daughter says  something that is close to appropriate, she rewards her. Eventually, her daughter should  learn good manners. What term is explained by this process?",Shaping,Generalization,Habituation,Positive reinforcement,Priming,Shaping is when specific positive behaviors in line with more  correct behaviors are progressively rewarded in an effort to elicit a desired long term  behavior.
xAP Psychology Practice Test 5 Learning.txt,Which of the following is an example of a fixed-interval reinforcement schedule?,Being paid by the week,Getting a reward for good behavior once in a while,Getting paid for each time-share you sell,When a dog gets a treat every time it sits on command,Winning money at a slot machine,"A fixed-interval schedule is a schedule of reinforcement where  the first response is rewarded only after a specified amount of time has elapsed. In this  case, the reward is the payment, which occurs at a regular, or fixed, interval of one week."
xAP Psychology Practice Test 5 Learning.txt,Responding to a stimulus in order to avoid electric shock is an example of what?,Avoidance conditioning,Escape conditioning,Punishment,Shaping,Successive approximation,Avoidance conditioning entails the learning of a behavior in  response to a stimulus in order to avoid an aversive event. It differs from escape  conditioning in that avoidance conditioning occurs prior to the presence of the aversive  event.
xAP Psychology Practice Test 5 Learning.txt,Under which reinforcement schedule is it most important for an organism to learn to  accurately estimate time?,Fixed interval,Combined ratio,Fixed ratio,Variable interval,Variable ratio,Estimating time is most critical in a fixed-interval reinforcement  schedule because the organism can learn to optimize its response pattern when the fixed  interval can be accurately estimated.
xAP Psychology Practice Test 5 Learning.txt,Which is most true of punishment?,"Its inhibitory effect is only short-range, and the general behavior tendency remains  essentially unchanged.",It has a long-range inhibitory effect upon behavior.,It is effective as a means of extinction.,It is effective in behavior control without undesirable side effects.,It is effective specifically in cases of retroactive inhibition.,The inhibitory effects of punishment are typically immediate  and only short-range. Punishment alone will not exact a long term alteration of behavior.
xAP Psychology Practice Test 5 Learning.txt,What is the basis of Thorndike's Law of Effect?,"In addition to practice, there must be reinforcement.","In addition to reinforcement, there must be reward.",Neither practice nor reward is important to learning.,Something learned with reinforcement can never be extinguished.,Practice alone produces learning.,"The Law of Effect points to the central role of reinforcement in  learning — actions rewarded are typically going to occur again. Additionally, in the  absence of positive reinforcement, practice will not be as effective as if there is a positive reinforcement schedule in place."
xAP Psychology Practice Test 5 Learning.txt,"The terms ""reconditioning"" and ""spontaneous recovery"" both describe the increase in a  conditioned response that was believed to be extinguished. What is the key difference  between these two terms?","Spontaneous recovery occurs after a period with no exposure to either the conditioned  response or unconditioned response, whereas reconditioning occurs after re-exposure to  pairings of the conditioned stimulus and the unconditioned stimulus.","Spontaneous recovery occurs for biologically prepared associations, whereas  reconditioning can occur with any arbitrary learned association.",Spontaneous recovery refers to classical conditioning and reconditioning refers to  operant conditioning.,Spontaneous recovery refers to positive reinforcement and reconditioning refers to  negative reinforcement.,The two terms are synonyms; there is no difference.,"The presentation of additional learning trials, after extinction, is  called reconditioning, which is typically faster than initial learning due to the initial  exposure to the stimulus. Spontaneous recovery occurs after a ""rest"" interval, and it will  be short-lived unless further training occurs."
xAP Psychology Practice Test 5 Learning.txt,"In signal-detection research, occasionally a subject will report detecting a signal even in  the signal's absence. What is this called?",False alarm,False positive,Hit,Miss,Sandbagging,"A false alarm is reporting a stimulus when none is present. On  the other hand, a miss is not reporting a stimulus when one is present."
xAP Psychology Practice Test 5 Learning.txt,A gambler's addiction is a result of what reinforcement schedule?,Variable ratio,Counterpunishment,Fixed interval,Fixed ratio,Variable interval,"The conditioned stimulus is associated with the unconditioned  stimulus in a classical conditioning situation. Prior to the conditioned response, the  conditioned stimulus is a neutral stimulus that does not elicit a response. After becoming  paired with the unconditioned stimulus, the conditioned stimulus then elicits a  conditioned response."
xAP Psychology Practice Test 5 Learning.txt,"When an animal receives a punishment but learns that pressing a button will eliminate  the punishment, escape learning takes place. However, if there is no response that will  turn off the shock, the situation is best described as what?",Conditioned emotional response,Avoidance learning,Second-order conditioning,Learned helplessness,Latent learning,"With gambling the number of responses needed for a reward  varies, which describes a variable ratio schedule. This type of schedule is unpredictable  and yields high and steady response rates, with little if any pause after reinforcement."
xAP Psychology Practice Test 6 Memory.txt,Which one of the following rehearsal strategies would be most effective in remembering  the name of someone you just met?,Elaborative rehearsal,Intentional rehearsal,Maintenance rehearsal,Proactive rehearsal,Retroactive rehearsal,Elaborative rehearsal would be most effective in remembering  the name of someone you just met because of its effectiveness in transferring newly  acquired information into long term memory. Elaborative rehearsal connects newly  acquired information with information already stored in long term memory. The  connections formed enable easier access of the newly stored information.
xAP Psychology Practice Test 6 Memory.txt,"Memory for automatic activities, such as bike riding and handwriting, is known as ________________.",Procedural memory,Declarative memory,Repressed memory,Semantic memory,Sensory memory,"Procedural memory is a part of the long-term memory that is  responsible for developing motor skills and knowing how to perform actions. Procedural  memory stores information on how to perform certain procedures, such as walking,  talking, and riding a bike without the need for explicit storage or recall."
xAP Psychology Practice Test 6 Memory.txt,"If you studied French in high school, you might have a hard time learning Spanish  vocabulary words in college because of _______________.",Proactive interference,Decay,Dual coding,Generalization,Retroactive interference,"The interfering effect of old information, in this case French, on  new information, in this case Spanish, is called proactive interference."
xAP Psychology Practice Test 6 Memory.txt,Retrograde amnesia is a phenomenon in which a person suffers a brain injury from a  stroke or an accident and loses memory of what?,Events immediately before the injury,Childhood events before age 8,Declarative memory,Events immediately after the injury,Procedural memory,"In retrograde amnesia, a person loses memory of events  immediately prior to the injury."
xAP Psychology Practice Test 6 Memory.txt,The Ebbinghaus forgetting curve shows ____________________.,A steep initial drop in retention followed by a gradual decline,A bell-shaped curve,A gradual drop in retention followed by a steep decline,"A steady, gradual decrease of memory over time",Higher retention for rote learning than for concept learning,The Ebbinghaus curve's steep initial drop followed by a gradual  decline is evidence that most forgetting occurs shortly after learning. The gradual decline  following the initial drop shows that information is forgotten more slowly as time  progresses compared to the initial learning of new information.
xAP Psychology Practice Test 6 Memory.txt,What is memory loss that occurs only as a result of the passage of time called?,Decay,Amnesia,Dementia,Interference,Natural forgetting,Decay is the memory loss that occurs solely as a result of the  passage of time.
xAP Psychology Practice Test 6 Memory.txt,Damage to or removal of what part of the brain can cause anterograde amnesia?,Hippocampus,Cerebellum,Corpus callosum,Hypothalamus,Thalamus,"Damage to the hippocampus can result in an inability to learn  new information, which is also known as anterograde amnesia."
xAP Psychology Practice Test 6 Memory.txt,"The process by which a stimulus is attended to, identified, studied, and incorporated into  memory is known as ____________________.",Encoding,Appraisal,Chunking,Feature detection,Retrieval,"Encoding is the first stage of memory and entails the translation  of a stimulus (visual, acoustic, or semantic) into a memory."
xAP Psychology Practice Test 6 Memory.txt,"""Last night, I ate Chipotle for dinner"" is an example of what type of memory?",Flashbulb,Episodic,Procedural,Semantic,Taste aversion,"Working memory, or short-term memory, is quantified in  Miller's Law as 7, plus or minus 2, chunks of information."
xAP Psychology Practice Test 6 Memory.txt,"""French toast, pancakes, and eggs are all common breakfast foods"" is an example of what type of memory?",Episodic,Flashbulb,Procedural,Schema,Semantic,Remembering a specific event is an example of episodic  memory.
xAP Psychology Practice Test 6 Memory.txt,"When Gwendolyn told her roommate about the chemistry exam she had just completed,  she knowingly exaggerated its difficulty. Subsequently, Gwendolyn's memory of the exam  was that it was as difficult as she had reported it to be. This best illustrates ________________.",Self-reference effect,Flashbulb memory,Misinformation effect,Mood-congruent memory,Proactive interference,"Semantic memory is memory encoded based on meaning.  Semantic memory is the encoding of general knowledge, in this case common breakfast  foods."
xAP Psychology Practice Test 6 Memory.txt,"""One is a bun. Two is a shoe. Three is a tree. Four is a door."" This is part of what method  to improve memory?",Method of loci,Elaborative rehearsal,Pegword,Rhythmic encoding,Visual imagery,"The misinformation effect holds that the reporting of episodic  memories becomes less accurate as a result of information acquired after the event itself.  In this case, Gwendolyn's perception of the difficulty of the exam after taking it leads her  to believe that the exam was more difficult than it actually was."
xAP Psychology Practice Test 6 Memory.txt,Which of the following is an example of prospective memory?,Remembering the capital of Georgia,Remembering how to play checkers,Remembering how to ride a bike,Remembering your third birthday,Remembering to buy your sister a birthday present next week.,These four sentences begin a ten-line rhyme used in a  mnemonic device called the pegword method. This method is used to memorize  information by associating the numbers with objects and then creating a story including  those objects.
